InvoiceID,PartyName,InvoiceDate,Amount,RepurchaseWithin1Month,TimeSinceLastPurchase,AveragePurchaseAmount,TotalNumberOfPurchases
291,ABC Shipping,2023-01-21 14:56:23.260382,492.0249833316397,0,0.0,572.6334164979063,1
464,ABC Shipping,2023-01-21 14:56:23.260382,336.8013129197586,1,0.0,572.6334164979063,2
590,ABC Shipping,2023-01-22 14:56:23.260382,329.20355984144607,1,1.0,572.6334164979063,3
879,ABC Shipping,2023-01-23 14:56:23.260382,332.75875139923494,1,1.0,572.6334164979063,4
248,ABC Shipping,2023-01-24 14:56:23.260382,377.13694743207185,1,1.0,572.6334164979063,5
142,ABC Shipping,2023-01-25 14:56:23.260382,599.8271958438681,1,1.0,572.6334164979063,6
264,ABC Shipping,2023-01-26 14:56:23.260382,882.0144860308465,1,1.0,572.6334164979063,7
763,ABC Shipping,2023-01-27 14:56:23.260382,298.55075744009014,1,1.0,572.6334164979063,8
128,ABC Shipping,2023-01-28 14:56:23.260382,573.7623948425019,1,1.0,572.6334164979063,9
551,ABC Shipping,2023-01-28 14:56:23.260382,472.71677727603435,1,0.0,572.6334164979063,10
390,ABC Shipping,2023-01-30 14:56:23.260382,646.3846324799027,1,2.0,572.6334164979063,11
593,ABC Shipping,2023-01-31 14:56:23.260382,911.5857929218812,1,1.0,572.6334164979063,12
724,ABC Shipping,2023-02-01 14:56:23.260382,996.7009038645226,1,1.0,572.6334164979063,13
216,ABC Shipping,2023-02-02 14:56:23.260382,697.4240748596246,1,1.0,572.6334164979063,14
185,ABC Shipping,2023-02-03 14:56:23.260382,543.0500708032314,1,1.0,572.6334164979063,15
773,ABC Shipping,2023-02-03 14:56:23.260382,468.91440072665944,1,0.0,572.6334164979063,16
786,ABC Shipping,2023-02-04 14:56:23.260382,368.85301622989573,1,1.0,572.6334164979063,17
483,ABC Shipping,2023-02-06 14:56:23.260382,890.1768884005626,1,2.0,572.6334164979063,18
729,ABC Shipping,2023-02-06 14:56:23.260382,633.7399007681057,1,0.0,572.6334164979063,19
287,ABC Shipping,2023-02-09 14:56:23.260382,700.8340470072262,1,3.0,572.6334164979063,20
597,ABC Shipping,2023-02-09 14:56:23.260382,905.6059666358827,1,0.0,572.6334164979063,21
871,ABC Shipping,2023-02-09 14:56:23.260382,590.888682466215,1,0.0,572.6334164979063,22
362,ABC Shipping,2023-02-12 14:56:23.260382,956.2630079859913,1,3.0,572.6334164979063,23
429,ABC Shipping,2023-02-12 14:56:23.260382,695.6552708644408,1,0.0,572.6334164979063,24
218,ABC Shipping,2023-02-14 14:56:23.260382,859.7534040722774,1,2.0,572.6334164979063,25
477,ABC Shipping,2023-02-14 14:56:23.260382,866.2824619705862,1,0.0,572.6334164979063,26
490,ABC Shipping,2023-02-14 14:56:23.260382,256.1720634878578,1,0.0,572.6334164979063,27
901,ABC Shipping,2023-02-14 14:56:23.260382,442.3780067568061,1,0.0,572.6334164979063,28
172,ABC Shipping,2023-02-15 14:56:23.260382,921.1270110550219,1,1.0,572.6334164979063,29
